"Website Calls Month Type","Better Way Answered","Missed","Total","Elite Tree Answered","Missed","Total","Fonville Tree Answered","Missed","Total","Green Bear Answered","Missed","Total","McQuillin Answered","Missed","Total","Ranger Tree Answered","Missed","Total","TN Tree Answered","Missed","Total","Trees Crossing Answered","Missed","Total"
"March 2026","0","1","1","2","1","3","15","3","18","33","6","39","2","0","2","24","11","35","4","4","8","0","1","1"
"April 2026","4","9","13","10","23","33","18","39","57","29","21","50","28","30","58","22","76","98","27","56","83","3","9","12"
"May 2026","6","8","14","","","0","17","17","34","34","24","58","15","27","42","11","21","32","17","61","78","4","0","4"
"June 2026","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"July 2026","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"August 2026","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"September 2026","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"October 2026","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"November 2026","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"December 2026","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"January 2027","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"February 2027","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"March 2027","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"April 2027","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"May 2027","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"June 2027","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"July 2027","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"August 2027","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
